"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Condition","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","MasVnrType","MasVnrArea","ExterQual","ExterCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","MoSold","YrSold","SalePrice"
11,20,"RL",70,11200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,5,1965,1965,"Hip","CompShg","None",0,"TA","TA",1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,0,1,384,"TA","TA","Y",0,0,0,0,0,0,NA,2,2008,NA
12,60,"RL",85,11924,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",9,5,2005,2006,"Hip","CompShg","Stone",286,"Ex","TA",1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,2,3,736,"TA","TA","Y",147,21,0,0,0,0,NA,7,2006,NA
13,20,"RL",NA,12968,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,6,1962,1962,"Hip","CompShg","None",0,"TA","TA",912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,0,1,352,"TA","TA","Y",140,0,0,0,176,0,NA,9,2008,144000
14,20,"RL",91,10652,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,5,2006,2007,"Gable","CompShg","Stone",306,"Gd","TA",1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,1,3,840,"TA","TA","Y",160,33,0,0,0,0,NA,8,2007,279500
15,20,"RL",NA,10920,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Norm","1Fam",6,5,1960,1960,"Hip","CompShg","BrkFace",212,"TA","TA",1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,1,1,352,"TA","TA","Y",0,213,176,0,0,0,NA,5,2008,NA
16,45,"RM",51,6120,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",7,8,1929,2001,"Gable","CompShg","None",0,"TA","TA",832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,0,2,576,"TA","TA","Y",48,112,0,0,0,0,NA,7,2007,NA
17,20,"RL",NA,11241,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",6,7,1970,1970,"Gable","CompShg","BrkFace",180,"TA","TA",1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,1,2,480,"TA","TA","Y",0,0,0,0,0,0,NA,3,2010,NA
18,90,"RL",72,10791,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","Duplex",4,5,1967,1967,"Gable","CompShg","None",0,"TA","TA",0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,0,2,516,"TA","TA","Y",0,0,0,0,0,0,NA,10,2006,90000
19,20,"RL",66,13695,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","RRAe","1Fam",5,5,2004,2004,"Gable","CompShg","None",0,"TA","TA",1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,0,2,576,"TA","TA","Y",0,102,0,0,0,0,NA,6,2008,159000
20,20,"RL",70,7560,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,6,1958,1965,"Hip","CompShg","None",0,"TA","TA",1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,0,1,294,"TA","TA","Y",0,0,0,0,0,0,NA,5,2009,139000
21,60,"RL",101,14215,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Norm","1Fam",8,5,2005,2006,"Gable","CompShg","BrkFace",380,"Gd","TA",1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,1,3,853,"TA","TA","Y",240,154,0,0,0,0,NA,11,2006,NA
22,45,"RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","Norm","1Fam",7,7,1930,1950,"Gable","CompShg","None",0,"TA","TA",637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,1,1,280,"TA","TA","N",0,0,205,0,0,0,NA,6,2007,139400
23,20,"RL",75,9742,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2002,2002,"Hip","CompShg","BrkFace",281,"Gd","TA",1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,1,2,534,"TA","TA","Y",171,159,0,0,0,0,NA,9,2008,230000
24,120,"RM",44,4224,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","TwnhsE",5,7,1976,1976,"Gable","CompShg","None",0,"TA","TA",1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,1,2,572,"TA","TA","Y",100,110,0,0,0,0,NA,6,2007,129900
25,20,"RL",NA,8246,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,8,1968,2001,"Gable","CompShg","None",0,"TA","Gd",1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,1,1,270,"TA","TA","Y",406,90,0,0,0,0,NA,5,2010,154000
26,20,"RL",110,14230,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",8,5,2007,2007,"Gable","CompShg","Stone",640,"Gd","TA",1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,1,3,890,"TA","TA","Y",0,56,0,0,0,0,NA,7,2009,NA
27,20,"RL",60,7200,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",5,7,1951,2000,"Gable","CompShg","None",0,"TA","TA",900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,0,2,576,"TA","TA","Y",222,32,0,0,0,0,NA,5,2010,134800
28,20,"RL",98,11478,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2007,2008,"Gable","CompShg","Stone",200,"Gd","TA",1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,1,3,772,"TA","TA","Y",0,50,0,0,0,0,NA,5,2010,306000
29,20,"RL",47,16321,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",5,6,1957,1997,"Gable","CompShg","None",0,"TA","TA",1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,2,1,319,"TA","TA","Y",288,258,0,0,0,0,NA,12,2006,NA
30,30,"RM",60,6324,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Feedr","1Fam",4,6,1927,1950,"Gable","CompShg","None",0,"TA","TA",520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,0,1,240,"Fa","TA","Y",49,0,87,0,0,0,NA,5,2008,68500
31,70,"C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Feedr","1Fam",4,4,1920,1950,"Gambrel","CompShg","None",0,"TA","Fa",649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,0,1,250,"TA","Fa","N",0,54,172,0,0,0,NA,7,2008,40000
32,20,"RL",NA,8544,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",5,6,1966,2006,"Gable","CompShg","None",0,"TA","TA",1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,0,1,271,"TA","TA","Y",0,65,0,0,0,0,NA,6,2008,149350
33,20,"RL",85,11049,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",8,5,2007,2007,"Gable","CompShg","None",0,"Gd","TA",1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,0,2,484,"TA","TA","Y",0,30,0,0,0,0,NA,1,2008,179900
34,20,"RL",70,10552,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,5,1959,1959,"Hip","CompShg","None",0,"TA","TA",1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,1,2,447,"TA","TA","Y",0,38,0,0,0,0,NA,4,2010,165500
35,120,"RL",60,7313,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","TwnhsE",9,5,2005,2005,"Hip","CompShg","BrkFace",246,"Ex","TA",1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,1,2,556,"TA","TA","Y",203,47,0,0,0,0,NA,8,2007,277500
36,60,"RL",108,13418,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2004,2005,"Gable","CompShg","Stone",132,"Gd","TA",1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,1,3,691,"TA","TA","Y",113,32,0,0,0,0,NA,9,2006,309000
37,20,"RL",112,10859,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",5,5,1994,1995,"Gable","CompShg","None",0,"TA","TA",1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,0,2,672,"TA","TA","Y",392,64,0,0,0,0,NA,6,2009,145000
38,20,"RL",74,8532,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,6,1954,1990,"Hip","CompShg","BrkFace",650,"TA","TA",1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,1,2,498,"TA","TA","Y",0,0,0,0,0,0,NA,10,2009,153000
39,20,"RL",68,7922,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,7,1953,2007,"Gable","CompShg","None",0,"TA","Gd",1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,0,1,246,"TA","TA","Y",0,52,0,0,0,0,NA,1,2010,109000
40,90,"RL",65,6040,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","Duplex",4,5,1955,1955,"Gable","CompShg","None",0,"TA","TA",0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,0,0,0,NA,NA,"N",0,0,0,0,0,0,NA,6,2008,82000
41,20,"RL",84,8658,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",6,5,1965,1965,"Gable","CompShg","BrkFace",101,"TA","TA",1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,1,2,440,"TA","TA","Y",0,138,0,0,0,0,NA,12,2006,NA
42,20,"RL",115,16905,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,6,1959,1959,"Gable","CompShg","None",0,"TA","Gd",1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,2,1,308,"TA","TA","P",0,104,0,0,0,0,NA,7,2007,170000
43,85,"RL",NA,9180,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",5,7,1983,1983,"Gable","CompShg","None",0,"TA","TA",840,"GasA","Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,0,2,504,"TA","Gd","Y",240,0,0,0,0,0,NA,12,2007,144000
44,20,"RL",NA,9200,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",5,6,1975,1980,"Hip","CompShg","None",0,"TA","TA",938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,0,1,308,"TA","TA","Y",145,0,0,0,0,0,NA,7,2008,130250
45,20,"RL",70,7945,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,6,1959,1959,"Gable","CompShg","None",0,"TA","TA",1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,0,1,300,"TA","TA","Y",0,0,0,0,0,0,NA,5,2006,141000
46,120,"RL",61,7658,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","TwnhsE",9,5,2005,2005,"Hip","CompShg","BrkFace",412,"Ex","TA",1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,1,2,576,"TA","TA","Y",196,82,0,0,0,0,NA,2,2010,319900
47,50,"RL",48,12822,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Norm","1Fam",7,5,2003,2003,"Gable","CompShg","None",0,"Gd","TA",1434,"GasA","Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,1,2,670,"TA","TA","Y",168,43,0,0,198,0,NA,8,2009,239686
48,20,"FV",84,11096,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2006,2006,"Gable","CompShg","None",0,"Gd","TA",1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,0,3,826,"TA","TA","Y",0,146,0,0,0,0,NA,7,2007,249700
49,190,"RM",33,4456,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","2fmCon",4,5,1920,2008,"Gable","CompShg","None",0,"TA","TA",736,"GasA","Gd","Y","SBrkr",736,716,0,1452,0,0,2,0,2,3,"TA",8,0,0,0,NA,NA,"N",0,0,102,0,0,0,NA,6,2009,113000
50,20,"RL",66,7742,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,7,1966,1966,"Gable","CompShg","None",0,"TA","TA",955,"GasA","Ex","Y","SBrkr",955,0,0,955,1,0,1,0,3,1,"TA",6,0,1,386,"TA","TA","Y",0,0,0,0,0,0,NA,1,2007,127000
51,60,"RL",NA,13869,"Pave",NA,"IR2","Lvl","AllPub","Corner","Gtl","Norm","1Fam",6,6,1997,1997,"Gable","CompShg","None",0,"TA","TA",794,"GasA","Gd","Y","SBrkr",794,676,0,1470,0,1,2,0,3,1,"TA",6,0,2,388,"TA","TA","Y",0,75,0,0,0,0,NA,7,2007,177000
52,50,"RM",52,6240,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",6,6,1934,1950,"Gable","CompShg","None",0,"TA","TA",816,"GasA","TA","Y","SBrkr",816,0,360,1176,0,0,1,0,3,1,"TA",6,1,2,528,"TA","TA","Y",112,0,0,0,0,0,NA,9,2006,114500
53,90,"RM",110,8472,"Grvl",NA,"IR2","Bnk","AllPub","Corner","Mod","RRNn","Duplex",5,5,1963,1963,"Gable","CompShg","None",0,"Fa","TA",816,"GasA","TA","N","SBrkr",816,0,0,816,1,0,1,0,2,1,"TA",5,0,2,516,"TA","TA","Y",106,0,0,0,0,0,NA,5,2010,NA
54,20,"RL",68,50271,"Pave",NA,"IR1","Low","AllPub","Inside","Gtl","Norm","1Fam",9,5,1981,1987,"Gable","WdShngl","None",0,"Gd","TA",1842,"GasA","Gd","Y","SBrkr",1842,0,0,1842,2,0,0,1,0,1,"Gd",5,1,3,894,"TA","TA","Y",857,72,0,0,0,0,NA,11,2006,385000
55,80,"RL",60,7134,"Pave",NA,"Reg","Bnk","AllPub","Inside","Mod","Norm","1Fam",5,5,1955,1955,"Gable","CompShg","None",0,"TA","TA",384,"GasA","TA","Y","SBrkr",1360,0,0,1360,0,0,1,0,3,1,"TA",6,1,2,572,"TA","TA","Y",0,50,0,0,0,0,NA,2,2007,130000
56,20,"RL",100,10175,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",6,5,1964,1964,"Gable","CompShg","BrkFace",272,"TA","TA",1425,"GasA","Gd","Y","SBrkr",1425,0,0,1425,0,0,2,0,3,1,"TA",7,1,2,576,"TA","TA","Y",0,0,0,407,0,0,NA,7,2008,180500
57,160,"FV",24,2645,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Norm","Twnhs",8,5,1999,2000,"Gable","CompShg","BrkFace",456,"Gd","TA",970,"GasA","Ex","Y","SBrkr",983,756,0,1739,1,0,2,1,3,1,"Gd",7,0,2,480,"TA","TA","Y",115,0,0,0,0,0,NA,8,2009,172500
58,60,"RL",89,11645,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Norm","1Fam",7,5,2004,2004,"Gable","CompShg","None",0,"Gd","TA",860,"GasA","Ex","Y","SBrkr",860,860,0,1720,0,0,2,1,3,1,"Gd",7,0,2,565,"TA","TA","Y",0,70,0,0,0,0,NA,8,2006,196500
59,60,"RL",66,13682,"Pave",NA,"IR2","HLS","AllPub","CulDSac","Gtl","Norm","1Fam",10,5,2006,2006,"Hip","CompShg","BrkFace",1031,"Ex","TA",1410,"GasA","Ex","Y","SBrkr",1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,1,3,641,"TA","TA","Y",192,0,37,0,0,0,NA,10,2006,438780
60,20,"RL",60,7200,"Pave",NA,"Reg","Bnk","AllPub","Inside","Gtl","Norm","1Fam",5,7,1972,1972,"Gable","CompShg","None",0,"TA","TA",780,"GasA","Ex","Y","SBrkr",780,0,0,780,0,0,1,0,2,1,"TA",4,0,1,352,"TA","TA","Y",196,0,0,0,0,0,NA,1,2008,124900
61,20,"RL",63,13072,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","RRAe","1Fam",6,5,2004,2004,"Gable","CompShg","None",0,"TA","TA",1158,"GasA","Ex","Y","SBrkr",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,0,2,576,"TA","TA","Y",0,50,0,0,0,0,NA,5,2006,NA
62,75,"RM",60,7200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,7,1920,1996,"Gable","CompShg","None",0,"TA","TA",530,"GasA","TA","N","SBrkr",581,530,0,1111,0,0,1,0,3,1,"Fa",6,0,1,288,"TA","TA","N",0,0,144,0,0,0,NA,3,2007,NA
63,120,"RL",44,6442,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","TwnhsE",8,5,2006,2006,"Gable","CompShg","Stone",178,"Gd","TA",1370,"GasA","Ex","Y","SBrkr",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,1,2,484,"TA","TA","Y",120,49,0,0,0,0,NA,10,2007,202500
64,70,"RM",50,10300,"Pave",NA,"IR1","Bnk","AllPub","Inside","Gtl","RRAn","1Fam",7,6,1921,1950,"Gable","CompShg","None",0,"TA","TA",576,"GasA","Gd","Y","SBrkr",902,808,0,1710,0,0,2,0,3,1,"TA",9,0,2,480,"TA","TA","Y",12,11,64,0,0,0,NA,4,2010,140000
65,60,"RL",NA,9375,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,5,1997,1998,"Gable","CompShg","BrkFace",573,"TA","TA",1057,"GasA","Ex","Y","SBrkr",1057,977,0,2034,1,0,2,1,3,1,"Gd",8,0,2,645,"TA","TA","Y",576,36,0,0,0,0,NA,2,2009,219500
66,60,"RL",76,9591,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",8,5,2004,2005,"Gable","CompShg","BrkFace",344,"Gd","TA",1143,"GasA","Ex","Y","SBrkr",1143,1330,0,2473,0,0,2,1,4,1,"Gd",9,1,3,852,"TA","TA","Y",192,151,0,0,0,0,NA,10,2007,317000
67,20,"RL",NA,19900,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","PosA","1Fam",7,5,1970,1989,"Gable","CompShg","BrkFace",287,"TA","TA",1947,"GasA","TA","Y","SBrkr",2207,0,0,2207,1,0,2,0,3,1,"TA",7,1,2,576,"TA","TA","Y",301,0,0,0,0,0,NA,7,2010,NA
68,20,"RL",72,10665,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,5,2003,2003,"Gable","CompShg","BrkFace",167,"Gd","TA",1453,"GasA","Ex","Y","SBrkr",1479,0,0,1479,1,0,2,0,3,1,"Gd",7,0,2,558,"TA","TA","Y",144,29,0,0,0,0,NA,6,2007,226000
69,30,"RM",47,4608,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Artery","1Fam",4,6,1945,1950,"Gable","CompShg","None",0,"TA","Gd",747,"GasA","TA","Y","SBrkr",747,0,0,747,0,0,1,0,2,1,"TA",4,0,1,220,"TA","TA","Y",0,0,0,0,0,0,NA,6,2010,80000
70,50,"RL",81,15593,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",7,4,1953,1953,"Gable","CompShg","None",0,"Gd","TA",1304,"GasW","TA","Y","SBrkr",1304,983,0,2287,0,0,2,0,3,1,"TA",7,1,2,667,"TA","TA","Y",0,21,114,0,0,0,NA,7,2006,225000
71,20,"RL",95,13651,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Norm","1Fam",7,6,1973,1973,"Gable","CompShg","BrkFace",1115,"TA","Gd",2223,"GasA","Ex","Y","SBrkr",2223,0,0,2223,1,0,2,0,3,1,"TA",8,2,2,516,"TA","TA","Y",300,0,0,0,0,0,NA,2,2007,NA
72,20,"RL",69,7599,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",4,6,1982,2006,"Gable","CompShg","None",0,"TA","TA",845,"GasA","TA","Y","SBrkr",845,0,0,845,1,0,1,0,2,1,"TA",4,0,2,360,"TA","TA","Y",0,0,0,0,0,0,NA,6,2007,129500
73,60,"RL",74,10141,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Norm","1Fam",7,5,1998,1998,"Gable","CompShg","BrkFace",40,"TA","TA",832,"GasA","Gd","Y","SBrkr",885,833,0,1718,0,0,2,1,3,1,"TA",7,1,2,427,"TA","TA","Y",0,94,0,0,291,0,NA,12,2009,185000
74,20,"RL",85,10200,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Norm","1Fam",5,7,1954,2003,"Gable","CompShg","BrkFace",104,"TA","TA",1086,"GasA","Gd","Y","SBrkr",1086,0,0,1086,1,0,1,0,3,1,"TA",6,0,2,490,"TA","TA","Y",0,0,0,0,0,0,NA,5,2010,144900
75,50,"RM",60,5790,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Norm","1Fam",3,6,1915,1950,"Gambrel","CompShg","None",0,"Gd","Gd",840,"GasA","Gd","N","SBrkr",840,765,0,1605,0,0,2,0,3,2,"TA",8,0,1,379,"TA","TA","Y",0,0,202,0,0,0,NA,5,2010,107400
