ID,GESCHLECHT,ALTER,J_VERH,KINDER,REL,GRAD,ANZAHL_AFF,LUEGE
146,M,37,4,Ja,1,4,0,22
147,M,27,4,Ja,4,4,0,22
148,F,52,15,Ja,5,3,0,31
149,F,57,15,Ja,4,4,0,26
150,M,27,7,Ja,1,4,0,14
151,M,37,7,Ja,4,3,0,23
152,M,22,"0,75",Nein,2,3,0,20
153,M,32,4,Ja,2,3,0,17
154,M,37,15,Ja,4,3,0,26
155,M,22,"0,75",Ja,2,3,0,26
156,M,42,15,Ja,4,3,0,30
157,F,52,15,Ja,5,1,0,31
158,F,37,15,Ja,4,2,0,26
159,M,27,7,Ja,4,3,0,32
160,M,32,4,Ja,2,5,0,22
161,F,27,4,Ja,2,5,0,27
162,F,27,4,Ja,2,5,0,18
163,M,37,15,Ja,5,5,0,29
164,F,47,15,Ja,5,4,0,24
165,F,32,10,Ja,3,4,0,17
166,F,27,"1,5",Ja,4,2,0,25
167,F,57,15,Ja,2,2,0,25
168,F,22,"1,5",Nein,4,4,0,18
169,M,42,15,Ja,3,4,0,25
170,M,57,15,Ja,4,2,0,26
171,M,57,15,Ja,4,5,0,32
172,F,22,"12,5",Nein,4,5,0,20
173,F,32,10,Ja,4,5,0,24
174,F,42,15,Ja,3,4,0,26
175,F,27,"1,5",Nein,2,5,0,15
176,M,32,"12,5",Ja,2,2,0,23
177,F,27,4,Nein,3,4,0,20
178,F,27,10,Ja,2,4,0,29
179,F,32,7,Ja,4,3,0,28
180,F,37,15,Ja,4,4,0,32
181,F,42,15,Ja,5,2,0,28
182,M,32,"1,5",Ja,4,5,0,36
183,F,32,4,Ja,3,3,0,26
184,F,37,7,Nein,4,5,0,23
185,F,22,"41,7",Ja,3,5,0,18
186,F,27,7,Ja,4,5,0,22
187,M,27,"0,75",Nein,3,5,0,17
188,M,27,4,Ja,2,5,0,30
189,M,32,10,Ja,4,5,0,29
190,M,32,15,Ja,1,5,0,14
191,M,22,"0,75",Nein,3,5,0,12
192,F,27,7,Ja,4,4,0,33
193,M,27,"41,7",Ja,4,4,0,32
194,M,37,15,Ja,4,4,0,27
195,F,37,15,Ja,2,3,0,31
196,M,22,4,Ja,1,4,0,22
197,M,37,15,Ja,4,3,0,25
198,F,22,"1,5",Nein,2,5,0,11
199,M,52,15,Ja,4,2,0,26
200,F,22,"1,5",Nein,4,5,0,16
201,M,32,4,Ja,5,5,0,27
202,M,32,4,Ja,2,5,0,24
203,F,22,"1,5",Nein,3,5,0,23
204,M,27,"0,75",Nein,2,3,0,14
205,F,22,7,Ja,2,2,0,18
206,F,27,"0,75",Nein,2,3,0,20
207,F,37,15,Ja,4,2,0,23
208,F,22,"1,5",Nein,1,5,0,4
209,F,37,10,Nein,2,4,0,23
210,F,37,15,Ja,4,3,0,20
211,F,42,15,Ja,3,3,0,23
212,M,22,4,Nein,2,5,0,18
213,M,52,7,Ja,2,2,0,20
214,M,27,"0,75",Nein,2,5,0,11
215,F,27,4,Nein,2,5,0,20
216,M,42,"1,5",Nein,5,5,0,35
217,M,22,"1,5",Nein,4,5,0,23
218,M,22,4,Nein,4,3,0,32
219,F,22,4,Ja,1,4,0,23
220,M,37,15,Ja,5,5,0,31
221,F,37,10,Ja,3,3,0,26
222,M,42,15,Ja,4,5,0,31
223,F,47,15,Ja,4,5,0,19
224,M,22,"1,5",Nein,4,4,0,26
225,F,32,10,Ja,3,4,0,18
226,F,22,7,Ja,1,5,0,19
227,F,32,10,Ja,4,4,0,23
228,M,27,"1,5",Ja,2,4,0,30
229,M,37,15,Ja,4,5,0,29
230,M,42,4,Ja,3,5,0,19
231,F,37,15,Ja,5,4,0,35
232,F,32,7,Ja,4,5,0,29
233,F,42,15,Ja,4,5,0,17
234,M,27,4,Nein,4,4,0,24
235,M,22,"0,75",Nein,4,5,0,18
236,M,27,4,Ja,4,3,0,33
237,F,22,"0,75",Nein,5,5,0,21
238,F,52,15,Ja,5,5,0,30
239,M,32,10,Ja,3,5,0,27
240,F,37,15,Ja,4,4,0,27
241,M,32,7,Ja,2,4,0,23
242,F,42,15,Ja,3,4,0,33
243,M,32,15,Ja,1,5,0,22
244,M,27,4,Ja,3,5,0,21
245,F,32,15,Ja,4,4,0,28
246,M,22,"0,75",Ja,3,4,0,26
247,F,22,"1,5",Nein,3,3,0,23
248,F,42,15,Ja,4,5,0,29
249,F,52,15,Ja,3,4,0,15
250,M,37,15,Ja,5,4,0,43
251,F,47,15,Ja,4,3,0,17
252,M,57,15,Ja,2,4,0,23
253,M,32,7,Ja,4,5,0,30
254,F,27,7,Ja,4,4,0,21
255,M,22,"1,5",Nein,1,5,0,7
256,F,22,4,Ja,3,4,0,19
257,F,22,"1,5",Nein,2,5,0,12
258,M,42,15,Ja,2,4,0,21
259,M,57,15,Ja,4,4,0,25
260,F,27,7,Ja,2,5,0,23
261,F,22,4,Ja,3,5,0,19
262,M,37,15,Ja,4,3,0,29
263,M,32,7,Ja,1,4,0,21
264,F,22,"1,5",Nein,2,5,0,20
265,F,22,"1,5",Ja,3,3,0,22
266,M,52,15,Ja,2,5,0,27
267,F,37,15,Ja,2,1,0,29
268,F,32,10,Ja,2,5,0,23
269,M,42,15,Ja,4,5,0,27
270,F,27,4,Ja,3,5,0,23
271,M,37,15,Ja,4,5,0,30
272,M,27,"1,5",Nein,3,5,0,6
273,F,22,"12,5",Nein,2,3,0,12
274,M,32,10,Ja,2,3,0,28
275,F,27,4,Nein,4,4,0,22
276,F,27,7,Ja,2,1,0,22
277,M,32,4,Ja,5,3,0,23
278,F,37,15,Ja,2,5,0,31
279,M,47,15,Nein,4,4,0,24
280,M,27,"1,5",Nein,1,5,0,18
281,M,37,15,Ja,4,4,0,27
282,F,32,15,Ja,4,4,0,27
283,F,32,7,Ja,4,4,0,27
284,F,42,15,Ja,3,3,0,26
285,F,27,7,Ja,3,4,0,21
286,M,27,"1,5",Nein,3,2,0,21
287,M,22,"1,5",Nein,3,5,0,18
288,M,27,4,Ja,3,2,0,25
289,F,27,7,Ja,3,2,0,16
290,F,37,15,Ja,2,4,0,10
291,F,37,7,Ja,3,4,0,27
292,M,22,"1,5",Nein,2,5,0,25
293,M,37,15,Ja,5,4,0,33
294,F,22,"1,5",Nein,4,3,0,16
295,F,32,10,Ja,4,5,0,25
296,M,27,4,Nein,2,3,0,22
297,F,22,"41,7",Nein,4,5,0,17
298,F,27,4,Nein,2,5,0,8
299,M,37,15,Ja,4,3,0,34
300,M,37,10,Ja,5,4,0,31
301,F,27,7,Ja,2,2,0,21
302,M,32,4,Ja,2,5,0,31
303,M,32,4,Ja,2,4,0,25
304,M,22,"1,5",Nein,3,5,0,22
305,F,22,4,Ja,4,4,0,23
306,F,17.5,"0,75",Nein,2,4,0,16
307,M,32,10,Ja,4,5,0,28
308,F,32,"0,75",Nein,5,3,0,24
309,M,37,15,Ja,4,3,0,27
310,M,32,4,Nein,3,5,0,18
311,F,27,"1,5",Nein,2,2,0,24
312,F,22,7,Ja,4,5,0,20
313,M,47,15,Ja,5,5,0,24
314,M,27,4,Ja,1,4,0,19
315,F,37,15,Ja,5,3,0,19
316,M,42,4,Ja,4,5,0,15
317,F,32,4,Ja,2,5,0,26
318,M,52,15,Ja,2,4,0,33
319,F,22,"1,5",Nein,2,4,0,11
320,M,52,15,Ja,4,4,0,30
321,F,22,"41,7",Nein,3,5,0,11
322,F,22,"1,5",Nein,2,5,0,13
323,M,27,4,Ja,4,4,0,20
324,F,32,15,Ja,4,5,0,19
325,F,27,"1,5",Nein,2,5,0,15
326,M,32,4,Nein,1,5,0,18
327,M,37,15,Ja,3,4,0,16
328,F,32,10,Nein,2,5,0,14
329,F,32,10,Ja,5,5,0,35
330,M,37,"1,5",Ja,4,3,0,25
331,M,32,"1,5",Nein,2,4,0,21
332,F,32,10,Ja,4,4,0,24
333,F,47,15,Ja,4,4,0,23
334,F,27,10,Ja,5,5,0,33
335,M,27,4,Ja,3,5,0,22
336,F,37,15,Ja,4,2,0,17
337,F,27,"0,75",Nein,4,5,0,22
338,F,37,15,Ja,4,5,0,27
339,F,32,15,Ja,3,5,0,20
340,F,27,10,Ja,2,5,0,11
341,M,27,7,Nein,2,5,0,21
342,F,37,15,Ja,2,3,0,22
343,M,27,"1,5",Ja,2,4,0,21
344,F,22,"0,75",Ja,2,5,0,13
345,M,22,4,Ja,4,4,0,23
346,M,42,"12,5",Nein,4,4,0,19
347,M,27,"1,5",Ja,4,5,0,27
348,M,27,7,Ja,3,3,0,28
349,F,52,15,Ja,4,3,0,32
350,M,27,"1,5",Nein,5,2,0,21
351,F,27,"1,5",Nein,2,5,0,21
352,F,27,"1,5",Nein,3,5,0,11
353,M,22,"12,5",Nein,5,4,0,23
354,F,27,4,Ja,4,5,0,28
355,F,27,4,Ja,4,5,0,13
356,F,47,15,Ja,2,5,0,19
357,F,32,15,Ja,3,3,0,26
358,M,42,7,Ja,2,5,0,31
359,M,22,"0,75",Nein,4,4,0,26
360,M,27,"12,5",Nein,3,5,0,24
361,M,32,10,Ja,3,5,0,19
362,F,22,"41,7",Nein,5,5,0,15
363,F,47,15,Ja,5,4,0,35
364,F,32,10,Ja,3,5,0,26
365,M,57,15,Ja,4,5,0,29
366,M,27,4,Ja,3,5,0,32
367,F,32,7,Ja,4,5,0,19
368,F,37,10,Ja,4,5,0,23
369,F,32,10,Ja,1,4,0,22
370,F,22,4,Nein,3,4,0,24
371,F,27,7,Ja,4,2,0,20
372,M,57,15,Ja,5,2,0,27
373,M,32,7,Ja,2,5,0,25
374,F,27,"1,5",Nein,4,3,0,14
375,M,22,"1,5",Nein,4,5,0,21
376,F,22,"1,5",Ja,4,4,0,21
377,F,32,7,Ja,3,5,0,20
378,F,47,15,Ja,3,4,0,28
379,F,22,"0,75",Nein,3,5,0,18
380,F,22,"1,5",Ja,2,5,0,21
381,F,27,4,Ja,1,5,0,24
382,M,52,15,Ja,4,5,0,31
383,M,32,10,Ja,4,5,0,26
384,M,47,15,Ja,4,4,0,32
385,F,27,7,Ja,2,2,0,9
386,F,22,"1,5",Nein,4,5,0,26
387,F,32,10,Ja,2,4,0,21
388,F,22,"0,75",Nein,2,4,0,11
389,F,22,"1,5",Nein,2,5,0,17
390,F,42,15,Ja,3,4,0,28
391,F,27,7,Ja,5,5,0,20
392,M,42,15,Ja,4,4,0,28
393,F,57,15,Ja,3,2,0,24
394,M,42,15,Ja,3,2,0,25
395,F,32,7,Ja,2,2,0,22
396,M,22,4,Nein,5,5,0,27
397,F,22,"1,5",Nein,1,5,0,6
398,F,22,"0,75",Nein,1,5,0,9
399,F,32,15,Ja,4,5,0,30
400,M,22,"1,5",Nein,2,3,0,21
401,M,27,4,Ja,5,5,0,28
402,F,27,4,Ja,4,5,0,31
403,M,42,15,Ja,5,4,0,32
404,M,32,"1,5",Nein,2,3,0,20
405,M,57,15,Nein,4,1,0,30
406,M,37,7,Nein,4,5,0,30
407,M,52,15,Ja,2,4,0,25
408,M,47,15,Ja,4,5,0,31
409,F,27,7,Nein,2,4,0,9
410,F,27,7,Ja,4,5,0,25
411,F,22,4,Nein,2,3,0,18
412,M,37,7,Ja,2,5,0,32
413,M,27,7,Nein,4,3,0,19
414,M,42,10,Ja,4,4,0,23
415,F,22,"1,5",Nein,3,5,0,24
416,F,22,4,Ja,2,3,0,15
417,F,57,15,Nein,4,5,0,23
418,M,37,15,Ja,4,3,0,37
419,F,27,7,Ja,3,5,0,19
420,F,17.5,10,Nein,4,5,0,15
421,M,22,4,Ja,4,5,0,34
422,F,27,4,Ja,2,4,0,30
423,F,37,15,Ja,2,1,0,20
424,F,22,"1,5",Nein,5,4,0,18
425,M,27,7,Ja,2,4,0,27
426,M,27,4,Ja,4,5,0,25
427,M,22,"12,5",Nein,1,5,0,17
428,F,27,7,Ja,4,4,0,10
429,F,32,15,Ja,5,3,0,28
430,M,32,10,Ja,4,4,0,20
431,F,32,15,Ja,2,4,0,19
432,F,22,"1,5",Nein,3,5,0,19
433,M,27,4,Ja,4,4,0,22
434,F,52,15,Ja,5,5,0,24
435,F,27,7,Ja,2,2,0,17
436,F,27,7,Ja,3,4,0,13
437,F,42,15,Ja,2,4,0,21
438,F,42,15,Ja,4,4,0,20
439,M,27,7,Ja,4,3,0,26
440,M,27,7,Ja,2,2,0,26
441,F,42,15,Ja,3,3,0,23
442,M,27,4,Ja,3,5,0,23
443,F,27,7,Ja,3,4,0,17
444,F,22,"1,5",Nein,2,5,0,10
445,F,27,4,Ja,4,4,0,17
446,F,22,4,Nein,4,5,0,19
447,F,22,"1,5",Nein,2,5,0,17
448,M,47,15,Nein,4,4,0,26
449,M,37,10,Ja,2,2,0,21
450,M,37,15,Ja,3,4,0,26
451,F,27,4,Ja,2,4,0,22
452,M,27,"1,5",Nein,3,4,3,35
453,F,27,4,Ja,3,5,3,33
454,M,37,15,Ja,5,2,7,76
455,F,32,10,Ja,3,2,12,80
456,M,22,"12,5",Nein,4,5,1,27
457,F,22,"1,5",Ja,2,5,1,30
458,M,37,15,Ja,4,2,12,82
459,F,22,"1,5",Nein,2,4,7,49
460,M,37,15,Ja,2,4,2,32
461,F,32,15,Ja,4,2,3,35
462,F,37,15,Ja,4,2,1,26
463,F,42,15,Ja,3,4,7,62
464,F,42,15,Ja,5,1,12,90
465,M,37,10,Ja,2,2,12,85
466,F,32,15,Ja,3,2,12,85
467,M,27,4,Nein,1,5,3,32
468,M,37,10,Ja,2,3,7,63
469,F,27,4,Nein,3,5,7,62
470,M,42,15,Ja,4,5,1,44
471,F,47,15,Ja,5,5,1,34
472,F,27,4,Ja,3,4,7,61
473,F,27,7,Ja,5,4,1,28
474,M,27,"1,5",Ja,3,4,12,95
475,F,27,7,Ja,4,2,12,76
476,F,42,15,Ja,4,4,3,42
477,F,27,10,Ja,4,3,7,60
478,M,27,"1,5",Nein,2,2,1,23
479,M,32,4,Nein,4,4,1,26
480,F,27,7,Ja,3,3,1,24
481,F,32,10,Ja,4,4,3,45
482,M,27,4,Ja,2,2,3,37
483,F,17.5,"0,75",Nein,5,5,1,30
484,F,32,10,Ja,4,5,1,25
485,F,32,7,Ja,2,4,7,49
486,M,37,15,Ja,2,4,7,62
487,F,37,10,Nein,1,3,7,46
488,F,32,10,Ja,2,5,12,82
489,M,52,15,Ja,2,4,7,57
490,F,42,15,Ja,1,3,7,52
491,M,52,15,Ja,2,3,1,29
492,M,37,15,Ja,3,5,2,39
493,F,22,4,Nein,3,4,12,85
494,M,27,7,Ja,1,2,12,67
495,M,27,4,Ja,3,5,1,29
496,M,47,15,Ja,4,5,12,103
497,F,42,15,Ja,4,1,12,80
498,M,27,4,Nein,3,4,7,58
499,F,32,7,Ja,4,5,7,55
500,M,32,"41,7",Ja,3,4,1,19
501,M,47,15,Ja,5,4,3,39
502,M,37,15,Ja,2,4,12,83
503,M,22,4,Ja,2,4,7,58
504,M,27,4,Nein,2,5,1,28
505,F,52,15,Ja,5,3,7,68
506,M,27,4,Nein,3,3,1,29
507,F,27,10,Ja,4,4,1,25
508,M,32,7,Ja,3,4,1,25
509,M,32,7,Ja,2,1,7,61
510,M,22,"1,5",Nein,1,2,3,33
511,M,22,4,Ja,3,4,7,58
512,M,42,15,Ja,4,4,7,68
513,F,57,15,Ja,1,4,2,35
514,F,32,4,Ja,3,2,7,63
515,M,27,4,Ja,1,4,1,23
516,M,32,7,Ja,4,4,7,58
517,M,57,15,Ja,1,4,2,33
518,F,42,15,Ja,4,2,7,58
519,M,37,10,Ja,1,3,7,51
520,M,42,15,Ja,3,1,3,39
521,F,52,15,Ja,3,4,1,27
522,F,27,7,Ja,3,3,2,34
523,M,32,7,Ja,2,2,12,91
524,M,22,4,Nein,4,5,1,28
525,M,27,7,Ja,3,4,3,58
526,F,37,15,Ja,1,5,12,83
527,F,32,15,Ja,3,3,7,57
528,F,27,7,Nein,2,5,7,49
529,F,32,7,Ja,3,3,1,28
530,M,32,"1,5",Ja,2,4,1,17
531,F,42,15,Ja,4,2,12,90
532,M,32,10,Ja,3,4,7,67
533,M,37,4,Ja,1,3,7,52
534,F,27,4,Ja,2,3,1,26
535,F,42,15,Ja,3,3,12,82
536,M,27,10,Ja,5,5,1,37
537,M,37,10,Ja,2,2,12,85
538,F,27,7,Ja,1,3,12,69
539,F,27,7,Ja,4,2,3,37
540,M,32,10,Ja,2,4,3,34
541,F,17.5,"0,75",Ja,2,3,12,83
542,F,32,15,Ja,3,4,12,89
543,F,22,7,Nein,4,3,2,32
544,M,32,7,Ja,4,5,1,33
545,M,27,4,Ja,2,2,7,60
546,F,22,"1,5",Ja,5,3,1,30
547,F,32,15,Nein,3,1,12,80
548,F,42,15,Ja,2,2,12,72
549,M,42,15,Ja,3,4,7,57
550,M,32,10,Nein,2,2,12,80
551,F,32,15,Ja,3,1,12,87
552,M,57,15,Ja,5,5,7,69
553,M,47,15,Ja,4,4,12,83
554,F,42,15,Ja,2,3,2,25
555,M,37,15,Ja,3,3,12,79
556,M,37,15,Ja,5,2,12,92
557,M,27,10,Ja,2,4,7,53
558,M,37,15,Ja,2,4,2,44
559,F,32,15,Ja,1,2,12,73
560,M,32,10,Ja,3,3,7,64
561,M,37,15,Ja,4,1,2,39
562,F,27,"1,5",Nein,2,5,7,55
563,F,47,15,Ja,2,2,3,37
564,M,37,15,Ja,2,4,12,85
565,F,27,4,Nein,2,5,12,71
566,F,27,10,Ja,4,5,2,29
567,F,22,4,Ja,3,3,1,29
568,M,52,7,Nein,4,5,12,80
569,F,27,4,Ja,1,5,2,23
570,F,37,15,Ja,2,4,7,60
571,F,27,4,Nein,1,1,2,9
572,F,17.5,"0,75",Ja,2,5,12,72
573,F,32,15,Ja,5,4,7,57
574,F,22,4,Nein,1,5,7,44
575,M,32,4,Ja,4,4,2,38
576,F,22,"1,5",Ja,3,2,1,31
577,F,42,15,Ja,2,4,3,42
578,M,32,7,Ja,4,4,1,26
579,M,37,15,Nein,3,2,12,78
580,M,42,15,Ja,3,3,1,28
581,M,27,4,Ja,1,4,1,26
582,M,37,15,Ja,4,3,2,41
583,M,37,15,Ja,3,4,7,58
584,M,22,"1,5",Nein,2,3,3,25
585,M,32,4,Ja,3,2,3,45
586,M,32,15,Ja,5,5,2,37
587,F,52,15,Ja,1,5,12,84
588,M,47,15,Nein,1,5,12,78
589,F,32,15,Ja,4,4,3,44
590,F,32,15,Ja,3,2,7,65
591,F,27,7,Ja,4,2,7,56
592,M,42,15,Ja,3,2,12,82
593,F,42,15,Ja,2,2,7,67
594,M,27,7,Ja,2,4,12,78
595,M,32,10,Ja,4,3,3,50
596,M,47,15,Ja,3,2,7,62
597,M,22,"1,5",Ja,1,5,1,27
598,F,32,10,Ja,2,4,7,54
599,M,32,10,Ja,2,5,2,38
600,M,22,7,Ja,3,2,2,31
601,F,32,15,Ja,3,5,1,39
